Precinct,FOR THE TAX LEVY,AGAINST THE TAX LEVY,Total Votes Cast,Contest Total
BTLTWP-A,202,356,558,574
BTLTWP-B,205,325,530,547
BTLTWP-C,273,378,651,670
BTLTWP-D,241,365,606,626
BTLTWP-E,208,245,453,464
BTLTWP-F,257,262,519,529
BTLTWP-G,155,159,314,322
DAY 3-B,25,37,62,65
HUB 1-D,0,0,0,0
UN-C,75,80,155,160
VD-A,182,252,434,444
VD-B,124,164,288,295
VD-C,234,303,537,554
VD-D,265,219,484,500
VD-E,189,172,361,375
VD-F,262,333,595,648
VD-G,270,224,494,505
VD-H,312,340,652,667
VD-I,245,268,513,526
VD-J,285,346,631,660
VD-K,277,292,569,589
