Precinct,David Cobb,Allison Durnbaugh,Amanda Graf-Hurst,Total Votes Cast,Contest Total
CV-A,118,118,109,345,728
CV-B,241,307,272,820,1298
CV-C,134,187,161,482,830
CV-D,137,170,145,452,770
CV-E,185,289,225,699,1196
CV-F,214,319,299,832,1404
CV-G,221,328,272,821,1454
CV-H,262,388,369,1019,1546
CV-I,300,382,344,1026,1602
CV-J,196,347,314,857,1372
CV-K,213,356,295,864,1430
CV-L,287,366,347,1000,1532
CV-M,213,291,247,751,1292
CV-N,162,259,234,655,1100
CV-O,243,394,388,1025,1618
CV-P,232,363,273,868,1358
CV-Q,181,276,239,696,1178
CV-R,178,260,248,686,1170
KT 3-I,0,0,0,0,0
WASTWP-A,151,271,247,669,1194
WASTWP-B,198,343,318,859,1486
WASTWP-C,221,305,305,831,1370
WASTWP-D,157,218,218,593,1016
WASTWP-E,194,321,324,839,1450
WASTWP-F,156,172,168,496,876
WASTWP-G,208,356,307,871,1506
WASTWP-H,190,305,279,774,1268
WASTWP-I,129,175,178,482,898
WASTWP-J,143,252,206,601,1148
WASTWP-K,162,234,269,665,1136
WASTWP-L,128,174,166,468,998
WASTWP-M,176,309,279,764,1380
WASTWP-N,161,221,243,625,1136
WASTWP-O,153,231,229,613,1118
WASTWP-P,157,312,281,750,1308
WASTWP-Q,186,239,218,643,1276
WASTWP-R,138,251,202,591,1000
WASTWP-S,174,232,214,620,1062
WASTWP-T,150,218,209,577,1076
WASTWP-U,198,319,269,786,1334
WASTWP-V,154,307,277,738,1234
WASTWP-W,109,145,161,415,780
WASTWP-X,155,235,214,604,1052
WASTWP-Y,163,330,324,817,1386
WASTWP-Z,176,289,271,736,1196
WASTWP-AA,149,286,258,693,1244
WASTWP-BB,115,194,177,486,832
WASTWP-CC,209,357,286,852,1522
