Precinct,Jim Long,Total Votes Cast,Contest Total
CV-A,230,230,364
CV-B,392,392,649
CV-C,259,259,415
CV-D,250,250,385
CV-E,358,358,598
CV-F,423,423,702
CV-G,446,446,727
CV-H,484,484,773
CV-I,519,519,801
CV-J,427,427,686
CV-K,450,450,715
CV-L,496,496,766
CV-M,393,393,646
CV-N,353,353,550
CV-O,515,515,809
CV-P,409,409,679
CV-Q,356,356,589
CV-R,346,346,585
KT 1-A,235,235,434
KT 1-B,240,240,404
KT 1-C,351,351,579
KT 1-D,332,332,533
KT 1-E,275,275,438
KT 1-F,262,262,441
KT 1-G,291,291,482
KT 1-H,354,354,603
KT 1-I,313,313,482
KT 2-A,308,308,526
KT 2-B,334,334,537
KT 2-C,362,362,549
KT 2-D,343,343,546
KT 2-E,383,383,590
KT 2-F,273,273,431
KT 2-G,463,463,739
KT 2-H,357,357,606
KT 2-I,292,292,459
KT 2-J,211,211,345
KT 3-A,348,348,582
KT 3-B,357,357,593
KT 3-C,389,389,609
KT 3-D,288,288,454
KT 3-E,376,376,580
KT 3-F,276,276,457
KT 3-G,331,331,489
KT 3-H,337,337,554
KT 3-I,350,350,547
KT 3-J,333,333,537
KT 3-K,444,444,680
KT 4-A,412,412,720
KT 4-B,377,377,680
KT 4-C,278,278,419
KT 4-D,329,329,581
KT 4-E,315,315,542
KT 4-F,352,352,602
KT 4-G,473,473,806
KT 4-H,276,276,411
KT 4-I,379,379,614
KT 4-J,330,330,520
KT 4-K,340,340,595
MOR 1-A,152,152,243
MOR 2-A,312,312,517
MOR 3-A,180,180,299
MOR 4-A,150,150,263
MOR 4-B,118,118,199
WASTWP-A,341,341,597
WASTWP-B,431,431,743
WASTWP-C,383,383,685
WASTWP-D,306,306,508
WASTWP-E,463,463,725
WASTWP-F,243,243,438
WASTWP-G,451,451,753
WASTWP-H,354,354,634
WASTWP-I,273,273,449
WASTWP-J,334,334,574
WASTWP-K,340,340,568
WASTWP-L,284,284,499
WASTWP-M,413,413,690
WASTWP-N,364,364,568
WASTWP-O,334,334,559
WASTWP-P,394,394,654
WASTWP-Q,352,352,638
WASTWP-R,308,308,500
WASTWP-S,328,328,531
WASTWP-T,329,329,538
WASTWP-U,398,398,667
WASTWP-V,338,338,617
WASTWP-W,216,216,390
WASTWP-X,335,335,526
WASTWP-Y,425,425,693
WASTWP-Z,353,353,598
WASTWP-AA,378,378,622
WASTWP-BB,245,245,416
WASTWP-CC,420,420,761
