Precinct,Julie Denning,Ruth Newhouse,Total Votes Cast,Contest Total
DAY 2-C,0,1,1,2
DAY 2-D,0,0,0,0
DAY 3-C,69,60,129,244
DAY 3-J,13,17,30,50
DAY 3-K,260,212,472,1014
DAY 11-C,5,5,10,30
HUB 5-B,0,0,0,0
PM,120,85,205,402
RV-A,286,261,547,970
RV-B,141,115,256,538
RV-C,207,172,379,786
RV-E,162,124,286,620
RV-F,227,184,411,746
RV-G,191,160,351,692
RV-H,101,71,172,348
RV-I,153,132,285,598
RV-J,171,154,325,668
RV-L,40,40,80,134
RV-M,244,206,450,818
RV-N,155,110,265,514
RV-P,275,237,512,944
