Precinct,Alyse Rettich,Total Votes Cast,Contest Total
GERTWP-A,437,437,647
GERTWP-B,459,459,661
GTN-A,408,408,592
GTN-B,316,316,444
GTN-C,428,428,580
GTN-D,364,364,511
MBG 1-A,383,383,639
MBG 1-B,352,352,539
MBG 1-C,378,378,546
MBG 2-A,227,227,392
MBG 2-B,312,312,467
MBG 2-C,368,368,566
MBG 3-A,256,256,376
MBG 3-B,346,346,574
MBG 3-C,249,249,402
MBG 3-D,386,386,571
MBG 4-A,312,312,508
MBG 4-B,310,310,476
MBG 4-C,255,255,412
MBG 4-D,459,459,751
MIATWP-A,303,303,498
MIATWP-B,239,239,399
MIATWP-C,290,290,469
MIATWP-D,251,251,401
MIATWP-E,472,472,737
MIATWP-F,282,282,457
MIATWP-G,250,250,399
MIATWP-H,261,261,414
MIATWP-I,167,167,256
MIATWP-J,236,236,407
MIATWP-K,369,369,621
MIATWP-L,222,222,413
MIATWP-M,276,276,438
MIATWP-N,322,322,540
MIATWP-O,308,308,540
MIATWP-P,175,175,269
MIATWP-Q,314,314,468
MIATWP-R,148,148,251
MIATWP-S,281,281,470
MIATWP-T,223,223,388
MIATWP-U,230,230,363
MIATWP-V,252,252,375
WCR-A,261,261,427
WCR-B,283,283,476
WCR-C,289,289,477
WCR-D,300,300,509
WCR-E,179,179,271
WCR-F,205,205,323
WCR-G,286,286,473
WCR-H,244,244,416
WCR-I,153,153,246
