Precinct,Craig Anderson,Aaron D. Lumpkin,Dionne M. Simmons,Total Votes Cast,Contest Total
CTN 1-D,20,14,20,54,88
CTN 2-C,17,33,37,87,162
DAY 6-A,2,2,1,5,12
DAY 15-D,32,43,77,152,256
JEFTWP-A,7,6,3,16,48
JEFTWP-B,14,4,11,29,58
TR 1-A,112,294,233,639,930
TR 1-B,56,152,143,351,490
TR 1-C,76,243,255,574,758
TR 1-D,53,174,170,397,540
TR 1-E,68,377,319,764,986
TR 2-B,67,268,277,612,818
TR 2-C,50,119,137,306,430
TR 2-D,57,100,99,256,392
TR 2-E,60,223,226,509,666
TR 3-A,82,174,156,412,586
TR 3-B,70,157,118,345,576
TR 3-C,49,97,83,229,374
TR 3-D,89,268,244,601,866
TR 4-A,76,321,285,682,888
TR 4-B,53,176,179,408,602
TR 4-D,17,67,56,140,206
